
35029 -1.4812534e-01 2.4612269e-03 1.1614449e+00 -2.7107323e-03 -1.4812527e-01 2.4612268e-03 1.1614449e+00 5.4705819e+00 4.3245679e+00 5.9290062e-02
35030 -1.5063229e-01 2.7083692e-03 1.1597435e+00 -3.3637587e-03 -1.5063223e-01 2.7083691e-03 1.1597435e+00 5.2588448e+00 4.2679649e+00 5.6787814e-02
35031 -1.5308417e-01 2.8939504e-03 1.1580303e+00 -3.4049389e-03 -1.5308410e-01 2.8939503e-03 1.1580303e+00 5.0485800e+00 4.1865384e+00 5.7449747e-02
35032 -1.5546560e-01 3.0216828e-03 1.1563108e+00 -3.0195696e-03 -1.5546553e-01 3.0216827e-03 1.1563108e+00 4.8403857e+00 4.0808299e+00 6.1332468e-02
35033 -1.5776182e-01 3.0955964e-03 1.1545902e+00 -2.7542007e-03 -1.5776175e-01 3.0955963e-03 1.1545902e+00 4.6348326e+00 3.9515322e+00 6.8485200e-02
35034 -1.5995870e-01 3.1199439e-03 1.1528732e+00 -3.0546926e-03 -1.5995863e-01 3.1199437e-03 1.1528732e+00 4.4324613e+00 3.7994829e+00 7.8948453e-02
35035 -1.6204282e-01 3.0992802e-03 1.1511647e+00 -3.4905364e-03 -1.6204275e-01 3.0992801e-03 1.1511647e+00 4.2337798e+00 3.6256584e+00 9.2752574e-02
35036 -1.6400138e-01 3.0383822e-03 1.1494696e+00 -3.6852454e-03 -1.6400131e-01 3.0383821e-03 1.1494696e+00 4.0392606e+00 3.4311657e+00 1.0991630e-01
35037 -1.6582246e-01 2.9421639e-03 1.1477930e+00 -3.6479236e-03 -1.6582239e-01 2.9421638e-03 1.1477930e+00 3.8493384e+00 3.2172341e+00 1.3044527e-01
35038 -1.6749500e-01 2.8157260e-03 1.1461398e+00 -3.6598433e-03 -1.6749494e-01 2.8157259e-03 1.1461398e+00 3.6644088e+00 2.9852061e+00 1.5433064e-01
35039 -1.6900914e-01 2.6642984e-03 1.1445144e+00 -4.0801471e-03 -1.6900908e-01 2.6642983e-03 1.1445144e+00 3.4848260e+00 2.7365277e+00 1.8154799e-01
35040 -1.7035586e-01 2.4932259e-03 1.1429213e+00 -4.2341899e-03 -1.7035580e-01 2.4932258e-03 1.1429213e+00 3.3109017e+00 2.4727381e+00 2.1205579e-01
35041 -1.7152729e-01 2.3078727e-03 1.1413652e+00 -3.8583377e-03 -1.7152722e-01 2.3078726e-03 1.1413652e+00 3.1429040e+00 2.1954587e+00 2.4579446e-01
35042 -1.7251685e-01 2.1136019e-03 1.1398499e+00 -3.7136690e-03 -1.7251678e-01 2.1136018e-03 1.1398499e+00 2.9810565e+00 1.9063819e+00 2.8268526e-01
35043 -1.7331915e-01 1.9156971e-03 1.1383792e+00 -3.9126887e-03 -1.7331908e-01 1.9156970e-03 1.1383792e+00 2.8255373e+00 1.6072596e+00 3.2262940e-01
35044 -1.7392985e-01 1.7193852e-03 1.1369571e+00 -4.0934185e-03 -1.7392978e-01 1.7193851e-03 1.1369571e+00 2.6764799e+00 1.2998916e+00 3.6550726e-01
35045 -1.7434591e-01 1.5298373e-03 1.1355872e+00 -4.1469707e-03 -1.7434584e-01 1.5298372e-03 1.1355872e+00 2.5339719e+00 9.8611325e-01 4.1117788e-01
35046 -1.7456556e-01 1.3520532e-03 1.1342729e+00 -4.1496035e-03 -1.7456550e-01 1.3520531e-03 1.1342729e+00 2.3980566e+00 6.6778365e-01 4.5947852e-01
35047 -1.7458834e-01 1.1909080e-03 1.1330173e+00 -4.2136443e-03 -1.7458828e-01 1.1909079e-03 1.1330173e+00 2.2687326e+00 3.4677351e-01 5.1022445e-01
35048 -1.7441501e-01 1.0510321e-03 1.1318230e+00 -4.2752766e-03 -1.7441494e-01 1.0510320e-03 1.1318230e+00 2.1459556e+00 2.4953378e-02 5.6320897e-01
35049 -1.7404778e-01 9.3675717e-04 1.1306922e+00 -4.8624194e-03 -1.7404771e-01 9.3675707e-04 1.1306922e+00 2.0296391e+00 -2.9581831e-01 6.1820381e-01
35050 -1.7348948e-01 8.5239566e-04 1.1296279e+00 -4.3022733e-03 -1.7348941e-01 8.5239555e-04 1.1296279e+00 1.9196565e+00 -6.1370652e-01 6.7495951e-01
35051 -1.7274440e-01 8.0163336e-04 1.1286322e+00 -3.4747118e-03 -1.7274433e-01 8.0163325e-04 1.1286322e+00 1.8158426e+00 -9.2691135e-01 7.3320619e-01
35052 -1.7181829e-01 7.8792369e-04 1.1277062e+00 -3.3523089e-03 -1.7181823e-01 7.8792359e-04 1.1277062e+00 1.7179953e+00 -1.2336786e+00 7.9265438e-01
35053 -1.7071791e-01 8.1437975e-04 1.1268512e+00 -3.7219467e-03 -1.7071784e-01 8.1437965e-04 1.1268512e+00 1.6258782e+00 -1.5323100e+00 8.5299620e-01
35054 -1.6945085e-01 8.8380610e-04 1.1260684e+00 -3.8508346e-03 -1.6945078e-01 8.8380600e-04 1.1260684e+00 1.5392231e+00 -1.8211734e+00 9.1390671e-01
35055 -1.6802570e-01 9.9858031e-04 1.1253587e+00 -3.6458888e-03 -1.6802564e-01 9.9858021e-04 1.1253587e+00 1.4577326e+00 -2.0987125e+00 9.7504553e-01
35056 -1.6645195e-01 1.1606054e-03 1.1247226e+00 -3.2511862e-03 -1.6645188e-01 1.1606053e-03 1.1247226e+00 1.3810828e+00 -2.3634550e+00 1.0360586e+00
35057 -1.6473999e-01 1.3714082e-03 1.1241605e+00 -2.9695679e-03 -1.6473992e-01 1.3714081e-03 1.1241605e+00 1.3089267e+00 -2.6140214e+00 1.0965801e+00
