K,X,Y,Z,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0035096,0.13258,0.5,8.7768,0.0093726,0.0015494,1.0018,0.13258,0.5,8.7768,0.00097626,1.94E-05,-0.00029502,0.001738,-0.00021991,0.004305,,0.097218837,-0.008172299
0.0036207,0.16379,0.5,8.7768,0.012735,-0.0056774,1.0165,0.16379,0.5,8.7768,0.0010542,9.17E-05,-0.00032448,0.0014451,-0.00023559,0.0047421,,0.100296399,-0.008988366
0.0035931,0.19372,0.5,8.7768,0.014571,-0.0098304,1.0351,0.19372,0.5,8.7768,0.0012097,0.00013936,-0.00037222,0.0013114,-0.00023696,0.0046651,,0.099531856,-0.010310803
0.0031173,0.22242,0.5,8.7768,0.012972,-0.012095,1.056,0.22242,0.5,8.7768,0.0014082,0.00025007,-0.00037407,0.001432,-0.00037293,0.0033945,,0.086351801,-0.01036205
0.0030788,0.24993,0.5,8.7768,0.0092474,-0.014042,1.0652,0.24993,0.5,8.7768,0.0015567,0.00043181,-0.00047274,0.0016496,-0.00059686,0.0029513,,0.085285319,-0.013095291
0.0030854,0.27629,0.5,8.7768,0.0060775,-0.014539,1.0717,0.27629,0.5,8.7768,0.0016706,0.00048724,-0.00054209,0.0016849,-0.00075835,0.0028153,,0.085468144,-0.015016343
0.0032609,0.30154,0.5,8.7768,0.0039523,-0.016071,1.0721,0.30154,0.5,8.7768,0.0018562,0.00048776,-0.00052495,0.0016274,-0.0008642,0.0030382,,0.09032964,-0.014541551
0.0034161,0.32572,0.5,8.7768,0.0026961,-0.016513,1.0715,0.32572,0.5,8.7768,0.0021649,0.00052328,-0.00042574,0.0016376,-0.0008894,0.0030297,,0.094628809,-0.011793352
0.0036096,0.34887,0.5,8.7768,0.0020419,-0.015258,1.0723,0.34887,0.5,8.7768,0.0025111,0.00052778,-0.00025318,0.0017297,-0.00083032,0.0029784,,0.09998892,-0.007013296
0.0040049,0.37102,0.5,8.7768,0.0015169,-0.013876,1.072,0.37102,0.5,8.7768,0.0028027,0.00045592,-0.0001712,0.0019168,-0.00098737,0.0032904,,0.110939058,-0.004742382
0.0043513,0.39221,0.5,8.7768,0.0013563,-0.012779,1.0701,0.39221,0.5,8.7768,0.0029988,0.00037517,-0.00023193,0.0022057,-0.0012159,0.0034982,,0.120534626,-0.006424654
0.0046104,0.41248,0.5,8.7768,0.0018423,-0.012449,1.0682,0.41248,0.5,8.7768,0.0031056,0.0003747,-0.00036894,0.0024153,-0.0013575,0.0036998,,0.127711911,-0.010219945
0.0047435,0.43187,0.5,8.7768,0.0027367,-0.012767,1.0662,0.43187,0.5,8.7768,0.0031738,0.00037094,-0.00034404,0.0024952,-0.0012492,0.0038179,,0.131398892,-0.009530194
0.0049891,0.4504,0.5,8.7768,0.0038954,-0.012806,1.0638,0.4504,0.5,8.7768,0.0032004,0.00030742,-0.00023466,0.0027026,-0.0011646,0.0040753,,0.138202216,-0.006500277
0.0053112,0.46812,0.5,8.7768,0.0052966,-0.011561,1.0609,0.46812,0.5,8.7768,0.0031744,0.00025836,-0.00019703,0.0029506,-0.0012195,0.0044974,,0.147124654,-0.005457895
0.00544,0.48504,0.5,8.7768,0.0066303,-0.010475,1.057,0.48504,0.5,8.7768,0.0031559,0.00025996,-0.00012271,0.0030726,-0.0012966,0.0046515,,0.150692521,-0.003399169
0.0057677,0.50122,0.5,8.7768,0.0074521,-0.01009,1.0548,0.50122,0.5,8.7768,0.0031996,0.00025771,4.14E-05,0.0032125,-0.0014604,0.0051233,,0.159770083,0.001146814
0.0062723,0.51667,0.5,8.7768,0.0077773,-0.009826,1.0527,0.51667,0.5,8.7768,0.0033043,0.00025259,0.0001422,0.0034947,-0.0015645,0.0057456,,0.173747922,0.003939058
0.0069676,0.53142,0.5,8.7768,0.0079967,-0.0096642,1.0506,0.53142,0.5,8.7768,0.0034842,0.00028675,0.00022238,0.0039201,-0.0017442,0.0065311,,0.19300831,0.006160111
0.0077897,0.54551,0.5,8.7768,0.0081394,-0.0091505,1.0486,0.54551,0.5,8.7768,0.0037415,0.00033967,0.00037117,0.0043714,-0.002099,0.0074664,,0.215781163,0.010281717
0.0083929,0.55896,0.5,8.7768,0.008219,-0.0092159,1.0485,0.55896,0.5,8.7768,0.0040276,0.00035597,0.00048586,0.0047308,-0.0024102,0.0080273,,0.232490305,0.013458726
0.0087536,0.5718,0.5,8.7768,0.0087653,-0.010153,1.0506,0.5718,0.5,8.7768,0.0043156,0.00030726,0.00051934,0.0049371,-0.0026776,0.0082544,,0.242481994,0.01438615
0.0089955,0.58405,0.5,8.7768,0.010109,-0.011742,1.0529,0.58405,0.5,8.7768,0.0045498,0.00026457,0.00054878,0.0049646,-0.0028136,0.0084766,,0.249182825,0.015201662
0.0091249,0.59575,0.5,8.7768,0.011854,-0.01446,1.0548,0.59575,0.5,8.7768,0.004694,0.00038997,0.00053741,0.0050142,-0.0027096,0.0085416,,0.252767313,0.014886704
0.0092897,0.6069,0.5,8.7768,0.013662,-0.017394,1.0563,0.6069,0.5,8.7768,0.0048166,0.00059761,0.00036203,0.0051757,-0.0026096,0.0085871,,0.25733241,0.010028532
0.009571,0.61755,0.5,8.7768,0.01563,-0.019807,1.057,0.61755,0.5,8.7768,0.0049938,0.00070062,0.00018036,0.00535,-0.0025504,0.0087981,,0.265124654,0.004996122
0.0099457,0.6277,0.5,8.7768,0.017625,-0.022612,1.0572,0.6277,0.5,8.7768,0.0052798,0.00083006,4.09E-05,0.0055991,-0.0023592,0.0090125,,0.275504155,0.001132964
0.010503,0.63738,0.5,8.7768,0.019212,-0.025106,1.058,0.63738,0.5,8.7768,0.0056704,0.00098414,-0.00012847,0.0059612,-0.0021397,0.0093741,,0.290941828,-0.003558726
0.011105,0.64661,0.5,8.7768,0.020199,-0.025997,1.058,0.64661,0.5,8.7768,0.0061106,0.0010298,-0.00019426,0.0062113,-0.0020614,0.0098878,,0.307617729,-0.005381163
0.011577,0.65542,0.5,8.7768,0.020699,-0.02635,1.0577,0.65542,0.5,8.7768,0.0066149,0.0011189,-0.00016253,0.0062007,-0.0021634,0.010339,,0.320692521,-0.004502216
0.011948,0.66381,0.5,8.7768,0.020956,-0.02681,1.0586,0.66381,0.5,8.7768,0.0071964,0.0013092,-0.00015467,0.006189,-0.0022775,0.010511,,0.330969529,-0.004284488
0.012173,0.67207,0.5,8.7768,0.021226,-0.026766,1.0595,0.67207,0.5,8.7768,0.0077743,0.0014336,-9.96E-05,0.0062229,-0.0022312,0.010348,,0.337202216,-0.002759003
0.012357,0.68032,0.5,8.7768,0.021603,-0.026292,1.0592,0.68032,0.5,8.7768,0.008312,0.0014982,8.51E-05,0.006218,-0.0021375,0.010185,,0.342299169,0.002357341
0.012749,0.68858,0.5,8.7768,0.02211,-0.02617,1.0579,0.68858,0.5,8.7768,0.0088113,0.0015952,0.00034847,0.00631,-0.00207,0.010378,,0.353157895,0.009652909
0.013253,0.69683,0.5,8.7768,0.022669,-0.026309,1.0557,0.69683,0.5,8.7768,0.0092397,0.0017238,0.00057682,0.0064828,-0.0018812,0.010783,,0.367119114,0.015978393
0.013734,0.70509,0.5,8.7768,0.023115,-0.026372,1.0541,0.70509,0.5,8.7768,0.0096109,0.0018944,0.00073428,0.0068185,-0.0015562,0.011038,,0.380443213,0.020340166
0.014263,0.71335,0.5,8.7768,0.023325,-0.026594,1.0538,0.71335,0.5,8.7768,0.0099977,0.0021149,0.0008511,0.0073087,-0.0013036,0.011219,,0.395096953,0.023576177
0.014906,0.7216,0.5,8.7768,0.023269,-0.027247,1.0538,0.7216,0.5,8.7768,0.010417,0.0023667,0.00096158,0.0077477,-0.0010946,0.011647,,0.412908587,0.026636565
0.015689,0.72986,0.5,8.7768,0.022967,-0.028644,1.0536,0.72986,0.5,8.7768,0.010834,0.0026166,0.0010932,0.0082044,-0.00078555,0.012339,,0.434598338,0.030282548
0.016536,0.73811,0.5,8.7768,0.022352,-0.030735,1.0527,0.73811,0.5,8.7768,0.011289,0.0029277,0.0013615,0.0087406,-0.00035454,0.013043,,0.458060942,0.037714681
0.017473,0.74637,0.5,8.7768,0.0213,-0.033075,1.0504,0.74637,0.5,8.7768,0.011859,0.0033506,0.0016693,0.0092714,2.32E-05,0.013816,,0.48401662,0.046240997
0.018561,0.75463,0.5,8.7768,0.019917,-0.034524,1.0473,0.75463,0.5,8.7768,0.012545,0.0037596,0.0019622,0.0097409,0.00031916,0.014837,,0.514155125,0.054354571
0.01976,0.76288,0.5,8.7768,0.018599,-0.034671,1.0443,0.76288,0.5,8.7768,0.013311,0.004135,0.0022978,0.010251,0.00073902,0.015959,,0.547368421,0.06365097
0.020869,0.77114,0.5,8.7768,0.017626,-0.034855,1.0408,0.77114,0.5,8.7768,0.0141,0.004618,0.0025338,0.010878,0.0012765,0.01676,,0.578088643,0.070188366
0.021848,0.7794,0.5,8.7768,0.017071,-0.035917,1.0376,0.7794,0.5,8.7768,0.014803,0.0051242,0.0028089,0.011396,0.0018808,0.017497,,0.605207756,0.077808864
0.022734,0.78765,0.5,8.7768,0.016864,-0.037921,1.035,0.78765,0.5,8.7768,0.015359,0.0056244,0.0032,0.011947,0.0024586,0.018163,,0.629750693,0.088642659
